trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
100,False,"{'a': 0.2739103507661536, 'e': 0.5999999999999996}",35,13,-39.64726636925772,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 1}",1
101,False,"{'a': 0.2722668886615567, 'e': 0.5959999999999996}",20,0,-23.771711564426198,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",1
102,False,"{'a': 0.27063328732958736, 'e': 0.5919999999999996}",35,13,12.858388372664859,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
103,False,"{'a': 0.26900948760560983, 'e': 0.5879999999999996}",20,0,-12.624488683871693,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
104,False,"{'a': 0.2673954306799762, 'e': 0.5839999999999996}",20,0,-21.408131126367913,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
105,False,"{'a': 0.2657910580958963, 'e': 0.5799999999999996}",25,0,-200.88568402080563,"{0: 17, 1: 0, 2: 2, 3: 2, 4: 4}",0
106,False,"{'a': 0.26419631174732094, 'e': 0.5759999999999996}",25,15,-25.373600280439945,"{0: 8, 1: 0, 2: 0, 3: 2, 4: 0}",1
107,False,"{'a': 0.26261113387683704, 'e': 0.5719999999999996}",20,0,-48.75308628812708,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
108,False,"{'a': 0.261035467073576, 'e': 0.5679999999999996}",20,0,-46.97418308040808,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
109,False,"{'a': 0.25946925427113454, 'e': 0.5639999999999996}",20,0,-60.892860844139946,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
110,False,"{'a': 0.25791243874550773, 'e': 0.5599999999999996}",25,13,-53.806704901846295,"{0: 6, 1: 2, 2: 3, 3: 1, 4: 0}",1
111,False,"{'a': 0.25636496411303467, 'e': 0.5559999999999996}",25,14,-1.9700181201238758,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
112,False,"{'a': 0.25482677432835643, 'e': 0.5519999999999996}",20,0,-39.0152269592428,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
113,False,"{'a': 0.2532978136823863, 'e': 0.5479999999999996}",20,0,5.169467485431262,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
114,False,"{'a': 0.251778026800292, 'e': 0.5439999999999996}",20,14,-0.4466154167056944,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.25026735863949023, 'e': 0.5399999999999996}",30,0,-56.50173677734205,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
